City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
469,Jieshi,CN,75.0,overcast clouds,22.81,115.83,Yuehai Hotel
470,Sorong,ID,84.42,scattered clouds,-0.88,131.25,The Waigo Hotel
472,Carai,BR,65.79,overcast clouds,-17.19,-41.69,Pousada Auto Vale
474,Nabire,ID,86.04,few clouds,-3.37,135.48,Hotel Nusantara Nabire
479,San Vicente,AR,65.68,light rain,-26.62,-54.13,Complejo Turístico Farelluk
481,Hasaki,JP,66.0,clear sky,35.73,140.83,Inubosaki Kanko Hotel
484,Batemans Bay,AU,72.0,scattered clouds,-35.72,150.18,Batemans Bay Marina Resort
485,Haapiti,PF,82.4,few clouds,-17.57,-149.87,Linareva Moorea Beach Resort
489,Japura,ID,90.52,overcast clouds,-0.32,102.35,Rumah mbah Jamah
491,Warri,NG,76.03,broken clouds,5.52,5.75,BON Hotel Delta
498,Goure,NE,75.0,scattered clouds,13.98,10.27,
499,Murwillumbah,AU,89.01,clear sky,-28.32,153.4,Murwillumbah Motor Inn
500,El Carmen,CO,68.18,broken clouds,8.51,-73.45,La Casona
501,Macau,MO,77.0,few clouds,22.2,113.55,Grand Emperor Hotel
502,Tessaoua,NE,73.81,clear sky,13.76,7.99,Benin Dan Kaabou Heberge
503,Pauini,BR,73.47,overcast clouds,-7.71,-66.98,Casa do Kiwliks
504,Tamandare,BR,76.77,broken clouds,-8.76,-35.1,Pousada 100 Passos
506,Mahebourg,MU,73.4,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
507,Andilamena,MG,68.4,overcast clouds,-17.02,48.58,Magic Hotel Restaurant
509,Ewa Beach,US,82.4,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
510,Marzuq,YE,66.58,scattered clouds,14.4,46.47,
512,Salalah,OM,73.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
513,Riachao,BR,77.23,few clouds,-7.36,-46.62,Pousada Nordestina
516,Sawakin,SD,79.59,light rain,19.11,37.33,فندق الدويم
518,Mahanoro,MG,72.28,light rain,-19.9,48.8,Hôtel Mon Désir
519,Ratnagiri,IN,83.82,clear sky,16.98,73.3,Hotel Landmark
521,Kimberley,ZA,66.2,clear sky,-28.73,24.76,Welgewandel Guesthouse
524,Isangel,VU,84.2,few clouds,-19.55,169.27,Volcano Sea View Tree House
525,Port Blair,IN,83.84,moderate rain,11.67,92.75,Fortune Resort Bay Island
526,Tura,IN,78.96,clear sky,25.52,90.22,Hotel RIKMAN Continental
527,Manggar,ID,86.54,light rain,-2.88,108.27,Guest Hotel
529,Nouadhibou,MR,71.6,clear sky,20.93,-17.03,El Medina
530,Bagaha,IN,74.8,clear sky,27.1,84.08,Rishu shaurya motors
531,Minab,IR,69.8,broken clouds,27.15,57.08,فروشگاه موبایل ترکمانی
532,Conceicao Do Araguaia,BR,76.73,broken clouds,-8.26,-49.26,Tarumã Tropical Hotel
534,Mecca,SA,74.8,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
535,Sawtell,AU,81.0,scattered clouds,-30.38,153.1,Boambee Waters Caravan Park
536,Gizo,SB,85.08,light rain,-8.1,156.84,Imagination Island
538,Port Keats,AU,91.47,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
541,Palm Coast,US,73.99,clear sky,29.59,-81.21,Hammock Beach Golf Resort & Spa
548,Dondo,MZ,69.8,scattered clouds,-19.61,34.74,Arco Iris
550,Bardiyah,LY,65.75,broken clouds,31.76,25.09,بورتو بردية
551,Riohacha,CO,77.22,overcast clouds,11.54,-72.91,Hotel Taroa
554,Vitorino Freire,BR,75.52,clear sky,-4.07,-45.17,
557,Yambio,SS,69.48,overcast clouds,4.57,28.4,Kabash Inn
561,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
564,Shangrao,CN,69.03,clear sky,28.45,117.97,Boyue boutique Hotel
